"gene.symbol","A1","A2","N1","N2","OPC1","OPC2","GC1","GC2","MOG1","MOG2","MGL1","MGL2","Endo1","Endo2","WB1","WB2","WB3"
"H2-M10.6",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"H2-M11",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"H2-M2",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.172244,0.1,0.1,0.1,0.101671,0.1,0.1
"H2-M3",0.204469,0.100625,0.692622,0.529527,1.119549,1.362012,0.138542,0.249911,0.1,0.1,5.732843,5.9981,7.766884,8.960202,1.165736,1.197168,1.074097
"H2-M5",0.1,0.1,1.703283,2.296726,0.495926,0.1,0.105959,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.829874,1.362925,1.395984
"H2-M9",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.140713,0.1,0.1,0.1
"H2-Oa",0.1,0.1,0.1,0.1,0.911474,0.1,0.153298,0.1,0.1,0.386565,28.232268,27.840659,0.1,0.1,0.161741,0.228202,0.102437
"H2-Ob",0.1,0.1,0.1,0.129298,1.147888,0.416287,0.122158,0.1,0.1,0.196221,13.856567,11.91821,0.1,0.1,0.212064,0.106559,0.17865
"H2-Q1",0.404782,0.768054,1.024181,1.512562,1.244652,1.148521,0.324268,0.270892,0.124688,0.208652,26.259593,18.32712,2.873787,2.679324,2.387053,1.591549,1.993227
"H2-Q10",0.306789,0.407358,0.670353,0.530947,0.683129,0.848373,0.102222,0.184926,0.1,0.1,9.020671,5.524618,0.998353,1.221436,1.113967,0.81006,1.174807
"H2-Q2",0.123855,0.127063,0.776574,0.484274,0.56383,0.580688,0.197124,0.274132,0.1,0.100783,11.993424,9.774778,1.507787,1.305962,0.809078,0.740403,0.687503
"H2-Q6",0.348868,0.635258,0.86502,0.476943,1.311984,0.81175,0.158382,0.1,0.1,0.17205,10.735046,10.350225,6.548134,8.400779,1.497394,1.406222,1.175251
"H2-Q7",0.1,0.1,0.1,0.1,0.186526,0.110507,0.1,0.1,0.1,0.1,2.52221,4.419783,0.586587,0.758901,0.159138,0.252689,0.220443
"H2-Q8",0.1,0.18464,0.1,0.1,0.307908,0.1,0.1,0.1,0.1,0.1,3.191869,2.525397,0.565295,0.721856,0.316688,0.468209,0.490558
"H2-T10",0.674517,0.728733,0.26175,0.177463,1.375664,1.661656,0.23495,0.514529,0.149666,0.145692,1.722321,2.612226,11.57632,12.545141,0.761543,0.908371,1.437177
"H2-T22",1.493741,1.190619,1.701831,1.280268,2.656373,3.595764,0.518593,1.005168,0.181897,0.237473,4.937465,7.045527,3.153953,3.241551,2.112645,0.8475,1.296382
"H2-T23",0.629311,1.622079,0.804206,0.830887,4.26661,2.209986,0.433351,0.453007,0.379642,0.562152,51.726758,52.798413,14.394383,14.099946,3.858816,2.997542,3.191345
